,soup
68,"['daniel radcliffe', 'rupert grint', 'emma watson', 'tom felton', 'julie walters'] david yates ['witch', 'broom', 'school of witchcraft', 'magic wand', 'magic broomstick'] as harry begins his sixth year at hogwarts, he discovers an old book marked as 'property of the half-blood prince', and begins to learn more about lord voldemort's dark past. harry potter and the half-blood prince  ['adventure', 'fantasy', 'mystery', 'romance', 'imax']"
69,"['ed asner', 'christopher plummer', 'jordan nagai', 'bob peterson', 'delroy lindo'] bob peterson|pete docter ['central and south america', 'balloon', 'animation', 'title spoken by character', 'floating in the air'] after a lifetime of dreaming of traveling the world, 78-year-old homebody carl flies away on an unbelievable adventure with russell, an 8-year-old wilderness explorer, unexpectedly in tow. together, the unlikely pair embarks on a thrilling odyssey full of jungle beasts and rough terrain. up  ['adventure', 'animation', 'children', 'drama']"
70,"['chris pine', 'zachary quinto', 'leonard nimoy', 'eric bana', 'bruce greenwood'] j.j. abrams ['spacecraft', 'teleportation', 'space mission', 'parachute', 'time travel'] the fate of the galaxy rests in the hands of bitter rivals. one, james kirk, is a delinquent, thrill-seeking iowa farm boy. the other, spock, a vulcan, was raised in a logic-based society that rejects all emotion. as fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. the human adventure has begun again. star trek  ['action', 'adventure', 'sci-fi', 'imax']"
71,"['christian bale', 'sam worthington', 'anton yelchin', 'moon bloodgood', 'bryce dallas howard'] mcg ['saving the world', 'artificial intelligence', 'prophecy', 'san francisco', 'cyborg'] all grown up in post-apocalyptic 2018, john connor must lead the resistance of humans against the increasingly dominating militaristic robots. but when marcus wright appears, his existence confuses the mission as connor tries to determine whether wright has come from the future or the past -- and whether he's friend or foe. terminator salvation  ['action', 'adventure', 'sci-fi', 'thriller']"
72,"['sharlto copley', 'jason cope', 'nathalie boltt', 'sylvaine strike', 'elizabeth mkandawie'] neill blomkamp ['slum', 'street gang', 'refugee camp', 'extraterrestrial technology', 'new zealand'] aliens land in south africa and have no way home. years later after living in a slum and wearing out their welcome the ""non-humans"" are being moved to a new tent city overseen by multi-national united (mnu). the movie follows an mnu employee tasked with leading the relocation and his relationship with one of the alien leaders. district 9  ['mystery', 'sci-fi', 'thriller']"
73,"['robert downey jr.', 'jude law', 'rachel mcadams', 'mark strong', 'eddie marsan'] guy ritchie ['detective', 'scotland yard', 'coffin', 'black magic', 'arrest'] eccentric consulting detective sherlock holmes and doctor john watson battle to bring down a new nemesis and unravel a deadly plot that could destroy england. sherlock holmes  ['action', 'crime', 'mystery', 'thriller']"
74,"['joseph gordon-levitt', 'zooey deschanel', 'chloã« grace moretz', 'geoffrey arend', 'matthew gray gubler'] marc webb ['date', 'sex', 'jealousy', 'fight', 'architect'] tom (joseph gordon-levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, summer (zooey deschanel), suddenly dumps him. he reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, tom rediscovers his true passions in life. (500) days of summer  ['comedy', 'drama', 'romance']"
75,"['ray romano', 'john leguizamo', 'denis leary', 'queen latifah', 'simon pegg'] carlos saldanha ['ice age', 'bridge', 'insanity', 'jungle', 'dinosaur'] times are changing for moody mammoth manny, motor mouthed sloth sid and crafty saber-toothed tiger diego in this third installment of the beloved computer-animated children's franchise. life heats up for our heroes when they meet some new and none-too-friendly neighbors: the mighty dinosaurs. ice age: dawn of the dinosaurs  ['action', 'adventure', 'animation', 'children', 'comedy', 'romance']"
76,"['bradley cooper', 'ed helms', 'zach galifianakis', 'justin bartha', 'heather graham'] todd phillips ['underwear', 'tiger', 'stag night', 'hangover', 'lost weekend'] when three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. but they can't seem to locate their best friend, doug â€“ who's supposed to be tying the knot. launching a frantic search for doug, the trio perseveres through a nasty hangover to try to make it to the church on time. hangover, the  ['comedy', 'crime']"
77,"['malin ã…kerman', 'billy crudup', 'carla gugino', 'jeffrey dean morgan', 'patrick wilson'] zack snyder ['dc comics', 'secret identity', 'mass murder', 'retirement', 'based on comic book'] in a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered an investigation into the killer is initiated. the reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger. watchmen  ['action', 'drama', 'mystery', 'sci-fi', 'thriller', 'imax']"
78,"['john cusack', 'amanda peet', 'chiwetel ejiofor', 'thandie newton', 'oliver platt'] roland emmerich ['white house', 'u.s. president', 'indian', 'ambulance', 'loss of father'] dr. adrian helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. he warns u.s. president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. meanwhile, writer jackson curtis stumbles on the same information. while the world's leaders race to build ""arks"" to escape the impending cataclysm, curtis struggles to find a way to save his family. meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world. 2012  ['action', 'drama', 'sci-fi', 'thriller']"
79,"['elijah wood', 'john c. reilly', 'jennifer connelly', 'christopher plummer', 'crispin glover'] shane acker ['man vs machine', 'hope', 'post-apocalyptic', 'dystopia', 'friendship'] when 9 first comes to life, he finds himself in a post-apocalyptic world. all humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. despite being the neophyte of the group, 9 convinces the others that hiding will do them no good. 9  ['adventure', 'animation', 'sci-fi']"
80,"['tom hanks', 'ewan mcgregor', 'ayelet zurer', 'stellan skarsgã¥rd', 'pierfrancesco favino'] ron howard ['rome', 'vatican', 'symbolism', 'christian', 'illuminati'] harvard symbologist robert langdon investigates a mysterious symbol seared into the chest of a murdered physicist. he discovers evidence of the unimaginable, the rebirth of an ancient secret brotherhood known as the illuminati, the most powerful underground organization ever to walk the earth. angels & demons  ['crime', 'drama', 'mystery', 'thriller']"
81,"['anika noni rose', 'bruno campos', 'keith david', 'michael-leon wooley', 'jennifer cody'] ron clements|john musker ['based on novel', 'voodoo', 'kiss', 'princess', 'animation'] a waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to do face the same problem after she kisses him. princess and the frog, the  ['animation', 'children', 'fantasy', 'musical', 'romance']"
82,"['sandra bullock', 'quinton aaron', 'kathy bates', 'tim mcgraw', 'jae head'] john lee hancock ['american football', 'adoption', 'education', 'private school', 'sport'] oversized african-american, michael oher, the teen from across the tracks and a broken home, has nowhere to sleep at age 16. taken in by an affluent memphis couple, michael embarks on a remarkable rise to play for the nfl. blind side, the   ['drama']"
83,"['jesse eisenberg', 'woody harrelson', 'emma stone', 'abigail breslin', 'amber heard'] ruben fleischer ['survival', 'zombies', 'twinkie', 'zombie spoof', 'body count'] columbus has made a habit of running from what scares him. tallahassee doesn't have fears. if he did, he'd kick their ever-living ass. in a world overrun by zombies, these two are perfectly evolved survivors. but now, they're about to stare down the most terrifying prospect of all: each other. zombieland  ['action', 'comedy', 'horror']"
84,"['jennifer aniston', 'jennifer connelly', 'drew barrymore', 'ginnifer goodwin', 'ben affleck'] ken kwapis ['relationship', 'ensemble cast', 'duringcreditsstinger'] remember that really cute guy who said he'd call â€“ and didn't? maybe he lost your number. maybe he's in the hospital. maybe he's awed by your beauty, brains or success. or maybe... he's just not that into you. he's just not that into you  ['comedy', 'drama', 'romance']"
85,"['sandra bullock', 'ryan reynolds', 'mary steenburgen', 'craig t. nelson', 'betty white'] anne fletcher ['fictitious marriage', 'deportation', 'immigration law', 'romantic comedy', 'alaska'] when she learns she's in danger of losing her visa status and being deported, overbearing book editor margaret tate forces her put-upon assistant, andrew paxton, to marry her. proposal, the  ['comedy', 'romance']"
